id,title,category,domain,module,page,url,role,severity,priority,riskScore,likelihood,techImpact,bizImpact,userImpact,status,description,expectedBehavior,actualBehavior,reproduction,recommendation,workaround,suggestedOwner,estimatedEffort,targetSprint
"API-001","Unauthenticated proxy to Qiwa government API (/api/qiwa)","Broken Authentication / Missing Access Control","API","REST API - Qiwa integration","/api/qiwa","/api/qiwa","anonymous","Critical","P0","25","5","4","5","4","confirmed","The REST route apps/web/app/api/qiwa/route.ts exposes GET, POST and PUT handlers that acquire a Qiwa OAuth token and proxy the request straight to the Qiwa government API (api.qiwa.sa / sandbox). No auth() session check, no role check, no tenant scoping and no Zod validation are performed. The path is also NOT included in middleware.ts config.matcher, so the global rate-limit and same-origin CSRF checks never run for it. The request body is forwarded verbatim to the Qiwa endpoint (JSON.stringify(body)) and the employee id comes from an unvalidated ?id= query param. A properly gated tRPC equivalent (qiwaRouter, requireRole(...QIWA_MANAGE_ROLES)) already exists, so this is an unprotected parallel door to the same integration.","Every call to a government-integration endpoint must require an authenticated session, enforce the qiwa manage roles, be tenant-scoped, validate the payload with the existing qiwaEmployeeSchema, and be covered by rate limiting.","Any unauthenticated caller can POST/PUT arbitrary employee data to Qiwa or GET employee records, using the server's own Qiwa credentials, with no session, role, tenant, validation or rate limit.","curl -X POST https://<host>/api/qiwa -H 'Content-Type: application/json' -d '{""fullName"":""x""}'  (no cookie/session) -> request is proxied to Qiwa and the raw Qiwa response is returned.","Add auth() + role check (QIWA_MANAGE_ROLES) at the top of every handler, resolve tenant from the session, validate the body with qiwaEmployeeSchema/qiwaContractSchema, add /api/qiwa to middleware.matcher for rate-limit + CSRF, and return generic error messages. Preferably retire this REST route in favour of the already-gated tRPC qiwaRouter.","Block /api/qiwa at the edge/WAF or delete the route until authentication is added.","Backend/API team","M","immediate"
"API-002","Unauthenticated cross-tenant data exposure (/api/auth/check-tenants)","Broken Access Control / Excessive Data Exposure","API","REST API - auth diagnostics","/api/auth/check-tenants","/api/auth/check-tenants","anonymous","Critical","P0","25","5","3","5","5","confirmed","apps/web/app/api/auth/check-tenants/route.ts GET returns the 10 most recently created tenants (id, companyName, crNumber, nitaqatActivity, planTier, regulatoryContext, schemaName) and the 10 most recent users (id, email, name, role, tenantId) with NO authentication. This is the same registry data that the tRPC procedure auth.tenantsList deliberately gates behind a PLATFORM_ADMIN_EMAILS allowlist (SEC-002) and which even omits schemaName. The route is not in middleware.matcher, so it is not even rate limited.","Cross-tenant registry data (customer company names, Saudi CR numbers, internal Postgres schema names, and user emails/roles) must only be readable by an authenticated platform operator, matching the auth.tenantsList gate.","Anyone on the internet can enumerate customer companies, CR numbers, internal schema names, and user emails/roles across ALL tenants by requesting one URL.","curl https://<host>/api/auth/check-tenants  -> JSON dump of recent tenants (incl crNumber + schemaName) and users (incl email + role).","Delete this diagnostic route, or gate it behind the same PLATFORM_ADMIN_EMAILS allowlist used by auth.tenantsList and add it to middleware.matcher. Never return schemaName to any client.","Remove the route file immediately; it is redundant with auth.tenantsList.","Backend/API team","S","immediate"
"DB-001","Tenant provisioning DDL creates only 2 of ~24 module tables — new tenants are structurally broken","Data Integrity / Tenant Provisioning","DB","packages/db tenant-manager","N/A (backend provisioning)","N/A","system / new tenant admin","Critical","P0","25","5","5","5","5","confirmed","generateTenantDDL() emits CREATE TABLE for only `departments` and `employees`. The tenant schema module defines ~24 tables (payroll_runs, payslips, wage_files, expenses, leave_types/requests/balances, attendance shifts/records/exceptions, documents, compliance_checks, final_settlements, notifications, audit_logs, recruitment, retention, ai, qiwa_contracts, policy_documents, guide_maps, employee_invitations, employment_history). None of the other tables are created when a tenant is provisioned at runtime.","createTenantSchema() should materialize the complete, current tenant table set (every table exported from schema/tenant/index.ts) with all constraints, indexes and triggers, so all modules work for a freshly signed-up tenant.","Only departments + employees are created. Payroll, leave, attendance, expenses, recruitment, audit, compliance etc. tables do not exist for a new tenant, so those modules fail with 'relation does not exist' until someone hand-runs a seed/DDL script.","Call createTenantRegistry(company, cr, activity) (the production signup path) then connect to the new tenant_<hex> schema and \dt. Only departments and employees exist. Any payroll/leave/attendance query throws 42P01 relation does not exist.","Generate tenant DDL from the Drizzle schema (single source of truth) rather than a hand-maintained string. Options: (a) drive drizzle-kit against each new tenant schema via SET search_path; (b) build a per-tenant migration runner that replays an authoritative ordered DDL bundle covering all tables + constraints + indexes + triggers; (c) at minimum, extend generateTenantDDL to the full table set and add a test asserting parity with schema/tenant/index.ts exports.","Run scripts/seed-rukn-modules.ts (PHASE 1 DDL) against each new tenant manually.","Backend / DB platform","L (2-4 days: author authoritative per-tenant DDL/migration mechanism + parity test)","Immediate"
"DB-002","Migrations 0001 & 0002 hardcode a single dev tenant schema (tenant_1ed8b6bd3743) — changes never reach other or new tenants","Data Integrity / Migration Drift","DB","packages/db drizzle migrations","N/A","N/A","system","Critical","P0","25","5","5","4","5","confirmed","Migration 0001 (immigration + gcc columns) and 0002 (policy_documents table + indexes) are written against a literal schema name `tenant_1ed8b6bd3743`. They ALTER/CREATE only inside that one developer tenant. Any other existing tenant and every future tenant never receives these columns/tables. Contrast with 0006/0007/0009 which correctly loop over information_schema.schemata LIKE 'tenant\_%'.","Schema migrations must apply to every tenant schema (loop over all tenant_<hex> schemas) and be baked into new-tenant provisioning.","0001/0002 mutate exactly one schema. Employees.immigration_status / visa_type / iqama_expiry / passport_expiry / occupation_code / skill_level / gcc_status and the policy_documents table exist only in tenant_1ed8b6bd3743.","grep -roE 'tenant_[a-f0-9]{12}' packages/db/drizzle -> all hits are tenant_1ed8b6bd3743 in 0001 and 0002. Provision a second tenant, query employees.immigration_status -> column does not exist.","Rewrite 0001/0002 as DO-loops over all tenant_<hex> schemas (as 0006/0007/0009 do) AND fold the columns/tables into the authoritative provisioning DDL from DB-001. Add a CI check that fails on any literal tenant_<hex> reference in migrations. Also fix the date-vs-text mismatch (see DB-005).","Manually replay the ALTERs against every existing tenant schema.","Backend / DB platform","M (1-2 days)","Immediate"
"RBAC-001","Unauthenticated cross-tenant registry disclosure via GET /api/auth/check-tenants (re-opens SEC-002, leaks schemaName)","Multi-tenant isolation / Broken access control","RBAC","REST route (custom)","/super-admin (data source)","/api/auth/check-tenants","anonymous (no session required)","Critical","P0","25","5","5","5","4","confirmed","The custom route GET /api/auth/check-tenants returns the ENTIRE tenant registry (companyName, crNumber, nitaqatActivity, planTier, regulatoryContext AND internal Postgres schemaName) plus the 10 most recent users across ALL tenants (email, name, role, tenantId) with NO authentication, no role check and no tenant scoping. This is the exact data SEC-002 was remediated for on the tRPC procedure auth.tenantsList (now gated to PLATFORM_ADMIN_EMAILS with schemaName removed) — but this parallel REST door bypasses that fix entirely and additionally re-exposes schemaName, the internal isolation key SEC-002 explicitly removed. The path is not in the middleware matcher, so no rate-limit or edge guard applies either.","Cross-tenant registry data must be restricted to a true platform operator (same PLATFORM_ADMIN_EMAILS boundary used by auth.tenantsList) and must never expose schemaName. Ideally this diagnostic route should be deleted.","Any anonymous HTTP client receives every tenant's company name, CR number, plan tier and internal schemaName plus recent user emails/roles/tenantIds.","curl https://<host>/api/auth/check-tenants -> 200 JSON listing all tenants (incl. schemaName) and recent users across every tenant, no cookie/token supplied.","Delete apps/web/app/api/auth/check-tenants/route.ts. If a diagnostic is required, gate it on the same PLATFORM_ADMIN_EMAILS operator boundary as auth.tenantsList and never return schemaName. Add the path to the middleware matcher regardless.","Block /api/auth/check-tenants at the edge/CDN until removed.","Backend / Platform","S (delete route)","Immediate (hotfix)"
"AUTH-001","Unauthenticated cross-tenant disclosure of users and tenants via GET /api/auth/check-tenants","Broken Access Control / Sensitive Data Exposure","AUTH","apps/web/app/api/auth/check-tenants","/api/auth/check-tenants","/api/auth/check-tenants","anonymous","High(P1)","P1","20","4","3","5","4","confirmed","The check-tenants route handler performs no authentication or authorization and is not covered by the middleware matcher, so any anonymous caller can enumerate the 10 most recent tenants (company name, CR number, schema name, plan tier, regulatory context) and the 10 most recent users (email, name, role, tenantId) across the ENTIRE registry - a cross-tenant PII and infrastructure-metadata leak.","A registry-wide listing of tenants and users must require an authenticated platform-operator (the same PLATFORM_ADMIN_EMAILS allowlist gate used by authRouter.tenantsList), and must never be reachable anonymously.","GET /api/auth/check-tenants returns tenant + user records with no session check. The route is absent from middleware.ts `config.matcher`, so even the middleware never runs for it.","curl https://<host>/api/auth/check-tenants -> returns JSON with cross-tenant tenants[] (companyName, crNumber, schemaName) and users[] (email, name, role, tenantId), no auth required.","Delete the route or gate it behind the platform-operator allowlist (reuse the PLATFORM_ADMIN_EMAILS check from trpc/routers/auth.ts tenantsList) and add it to the middleware matcher. Return 404 to anonymous callers.","Block /api/auth/check-tenants at the edge/CDN until fixed.","Backend/Platform","S (1-2h)","immediate"
"BIZ-001","Expense self-approval: submitter can set themselves as the approver and approve their own claim","Segregation of duties / self-approval","BIZ","expense","/modules/travel-expenses","expense.create + expense.approve","department_manager, hr_specialist, payroll_admin, recruiter (any non-employee staff role)","High","P1","20","4","3","5","2","confirmed","createExpenseSchema accepts a client-supplied approverEmployeeId with no check that it differs from the submitter. The approve mutation authorises the row's approverEmployeeId (or any HR role). A submitter who sets approverEmployeeId to their own employee id therefore becomes the approver of their own expense and can approve it. Plain 'employee' role is blocked from expense.approve by canAccessProcedure, but every staff role above employee (department_manager, hr_specialist, payroll_admin, recruiter) reaches approve via protectedProcedure.","An expense approver must be a different person from the submitter (actor != target). A self-referential approver should be rejected at submission, and approve must refuse when approverEmployeeId === the row's employeeId.","No actor != target guard exists. approverEmployeeId is taken verbatim from input; approve only checks that the caller is the assigned approver or HR, so a self-assigned approver passes.","As a department_manager, call expense.create with approverEmployeeId = own employeeId and amount = 5000. Then call expense.approve { id, action: 'approve' }. The row moves to 'approved' with no second person involved.","Reject approverEmployeeId === submitter at create; in approve, additionally block when existing.employeeId === existing.approverEmployeeId or when the acting HR user is the submitter. Enforce a two-person rule for any monetary approval.","Restrict approve/markPaid to a dedicated finance role and monitor the audit log for same-actor submit+approve pairs (not currently logged — see BIZ-003).","Backend / Payroll squad","S (0.5-1 day)","next"
"DB-003","audit_logs table and its append-only trigger are not part of tenant provisioning — new tenants have no audit trail and no tamper protection","Database Security / Auditability (PDPL)","DB","packages/db tenant-manager + audit_logs","N/A","N/A","system / compliance","High","P1","20","5","4","5","3","confirmed","generateTenantDDL does not create audit_logs, so new tenants have no audit table at all. Migration 0007 installs the append-only BEFORE UPDATE/DELETE trigger only for schemas that ALREADY contain audit_logs, and runs once at migration time. A tenant created after 0007 was applied therefore gets neither the table nor the trigger. The trigger design itself is correct and idempotent, but it is not wired into provisioning.","Every tenant should be created with audit_logs plus the prevent_audit_mutation() trigger so audit entries are immutable from day one.","New tenants: no audit_logs table (audit writes fail or are skipped). Even if the table were added later by a script, the append-only trigger is not re-installed for tenants created after 0007.","Provision a new tenant; \dt shows no audit_logs. Add the table by hand and note no audit_logs_no_update/no_delete trigger exists -> UPDATE/DELETE on audit rows succeeds.","Add audit_logs (with actor/action/target/before/after/ip/timestamp) and the prevent_audit_mutation() trigger to the authoritative provisioning DDL (DB-001). Keep 0007 as the backfill for legacy schemas. Add an integration test asserting UPDATE/DELETE on audit_logs raises in a freshly provisioned tenant.","Run the 0007 DO-block after every tenant creation.","Backend / Security","S (0.5-1 day)","Immediate"
"DB-005","Provisioned employees table is missing immigration/gcc columns the app requires, and migration types (text) diverge from schema (date)","Data Integrity / Schema Drift","DB","packages/db employees","N/A","N/A","system / hr_manager","High","P1","20","5","4","4","4","confirmed","The Drizzle employees schema defines immigration columns (passportExpiry, iqamaExpiry, exitReentryExpiry as `date`; visaType, occupationCode, skillLevel, immigrationStatus, gccStatus). generateTenantDDL omits all of these. Migration 0001 adds them ONLY to tenant_1ed8b6bd3743 (see DB-002) AND declares passport_expiry/iqama_expiry/exit_reentry_expiry as `text`, conflicting with the `date` type in the canonical schema. So new tenants lack the columns; the one hardcoded tenant has them with the wrong type.","Provisioned employees table matches employees.ts exactly, including immigration columns with correct `date` types.","New tenants: columns absent. Hardcoded tenant: columns present but typed text where Drizzle expects date -> type coercion / comparison bugs for expiry logic.","Provision a new tenant, query employees.iqama_expiry -> column missing. On tenant_1ed8b6bd3743, inspect column type -> text, not date.","Include immigration/gcc columns with correct date/enum types in the authoritative provisioning DDL; align 0001 to date types; backfill/convert text->date on the affected schema.","Manually add columns (as date) to affected tenant schemas.","Backend / DB platform","M (1-2 days incl. type conversion)","Immediate"
"UX-001","Dashboard shell uses hardcoded physical left/padding-left, so layout does not mirror in RTL (Arabic)","Accessibility","UX","Dashboard Shell / RTL","All (dashboard) pages","/ (any dashboard route)","All authenticated roles","High","P2","20","5","3","4","4","confirmed","globals.css states the intent explicitly: ""RTL: every component is RTL-first; dir=\""rtl\"" on <html> flips physical properties ... so layouts mirror automatically."" DashboardShell does correctly toggle document.documentElement.dir/lang at runtime (dashboard-shell.tsx:35-36), but the shell's own layout uses hardcoded physical Tailwind classes instead of logical ones: the sidebar wrapper is pinned with `left-0` and the content column uses `md:pl-[278px]`. Neither responds to `dir=""rtl""`.","When preferredLanguage is switched to Arabic (dir=rtl), the sidebar should move to the visual right edge and the main content column should reserve space on the right (e.g. via `inset-inline-start-0` / `ps-[278px]` logical utilities, or `[dir=rtl]:` overrides), matching the RTL-first design intent documented in globals.css.","The sidebar stays pinned to the physical left of the viewport and main content keeps its left padding even after switching to Arabic, producing a left-docked nav in an otherwise right-to-left reading page.","1. Sign in to the dashboard. 2. Click the language toggle (Globe icon) in the header to switch to العربية. 3. Observe the sidebar remains on the left and main content padding is unchanged, rather than mirroring to the right.","Replace `left-0`/`pl-[278px]` (and similar physical positioning in header.tsx, employees list search icon, etc.) with Tailwind logical-property utilities (`start-0`, `ps-[278px]`) or add `[dir=rtl]:right-0 [dir=rtl]:pr-[278px]` overrides, then visually QA every dashboard page in Arabic.","None for end users; Arabic users can still complete tasks, just with a mirrored-incorrectly nav rail.","Frontend / Design system","M","Next"
